"End","count"
"2023-03-30 20:51:57.0","4745"
"2023-03-30 20:51:58.0","5381"
"2023-03-30 20:51:59.0","4906"
"2023-03-30 20:52:00.0","9079"
"2023-03-30 20:52:01.0","12788"
"2023-03-30 20:52:02.0","10122"
"2023-03-30 20:52:03.0","11300"
"2023-03-30 20:52:04.0","12735"
"2023-03-30 20:52:05.0","12584"
"2023-03-30 20:52:06.0","12703"
"2023-03-30 20:52:07.0","12193"
"2023-03-30 20:52:08.0","12434"
"2023-03-30 20:52:09.0","12027"
"2023-03-30 20:52:10.0","13244"
"2023-03-30 20:52:11.0","13087"
"2023-03-30 20:52:12.0","13183"
"2023-03-30 20:52:13.0","11876"
"2023-03-30 20:52:14.0","13678"
"2023-03-30 20:52:15.0","12333"
"2023-03-30 20:52:16.0","11915"
"2023-03-30 20:52:17.0","9103"
"2023-03-30 20:52:18.0","12747"
"2023-03-30 20:52:19.0","9906"
"2023-03-30 20:52:20.0","10833"
"2023-03-30 20:52:21.0","14345"
"2023-03-30 20:52:22.0","14250"
"2023-03-30 20:52:23.0","12911"
"2023-03-30 20:52:24.0","15604"
"2023-03-30 20:52:25.0","14023"
"2023-03-30 20:52:26.0","13009"
"2023-03-30 20:52:27.0","11307"
"2023-03-30 20:52:28.0","13422"
"2023-03-30 20:52:29.0","13979"
"2023-03-30 20:52:30.0","13900"
"2023-03-30 20:52:31.0","15292"
"2023-03-30 20:52:32.0","16238"
"2023-03-30 20:52:33.0","13886"
"2023-03-30 20:52:34.0","1443"
"2023-03-30 20:52:35.0","11327"
"2023-03-30 20:52:36.0","16109"
"2023-03-30 20:52:37.0","13752"
"2023-03-30 20:52:38.0","10301"
